75     582       20       265000
55     7861     38       263358.0312
65     146       20       
50     111       20        210000
65      160      20        327000
90      47                    204000
75      246      15       127000
60                  60       454000
          157      65       263358.03
80      123      35       388000
75      81        38        368000
62      231      25       253000
45      981      30       136000
50                  38       276000
49      70        30       427000

